
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.00  2.00  0.00  0.00  -8.750  -8.737 -11.113 -12.466 -13.231   4.518   4.509   1.264   0.518   0.952   0.942
    2  3500  0.50 -1.00  2.00  0.00  0.00  -9.216  -9.205 -11.450 -12.598 -13.271   4.184   4.174   1.172   0.405   1.028   1.018
    3  3500  1.00 -1.00  2.00  0.00  0.00  -9.680  -9.668 -11.758 -12.721 -13.321   3.843   3.833   1.100   0.293   1.057   1.046
    4  3500  1.50 -1.00  2.00  0.00  0.00 -10.120 -10.108 -12.038 -12.847 -13.387   3.529   3.519   1.040   0.198   1.052   1.042
    5  3500  2.00 -1.00  2.00  0.00  0.00 -10.515 -10.503 -12.281 -12.966 -13.457   3.252   3.243   0.991   0.123   1.022   1.013
    6  3500  2.50 -1.00  2.00  0.00  0.00 -10.844 -10.831 -12.478 -13.078 -13.532   3.036   3.027   0.954   0.075   0.977   0.968
    7  3500  3.00 -1.00  2.00  0.00  0.00 -11.077 -11.063 -12.599 -13.168 -13.611   2.893   2.885   0.943   0.054   0.895   0.887
    8  3500  3.50 -1.00  2.00  0.00  0.00 -11.242 -11.227 -12.679 -13.250 -13.703   2.810   2.802   0.953   0.046   0.809   0.801
    9  3500  4.00 -1.00  2.00  0.00  0.00 -11.326 -11.311 -12.701 -13.314 -13.776   2.790   2.783   0.962   0.081   0.703   0.696
   10  3500  4.50 -1.00  2.00  0.00  0.00 -11.317 -11.302 -12.648 -13.337 -13.809   2.821   2.815   0.972   0.146   0.583   0.577
   11  3500  5.00 -1.00  2.00  0.00  0.00 -11.238 -11.221 -12.534 -13.329 -13.814   2.893   2.887   0.985   0.239   0.443   0.437
   12  3750  0.00 -1.00  2.00  0.00  0.00  -9.810  -9.797 -11.945 -13.339 -13.973   4.331   4.322   1.134   0.689   0.683   0.674
   13  3750  0.50 -1.00  2.00  0.00  0.00 -10.195 -10.182 -12.208 -13.471 -14.022   4.078   4.068   1.052   0.641   0.692   0.682
   14  3750  1.00 -1.00  2.00  0.00  0.00 -10.561 -10.549 -12.436 -13.569 -14.058   3.810   3.800   0.989   0.572   0.685   0.676
   15  3750  1.50 -1.00  2.00  0.00  0.00 -10.905 -10.892 -12.640 -13.648 -14.089   3.545   3.536   0.941   0.496   0.669   0.660
   16  3750  2.00 -1.00  2.00  0.00  0.00 -11.222 -11.209 -12.823 -13.720 -14.123   3.300   3.291   0.902   0.424   0.645   0.636
   17  3750  2.50 -1.00  2.00  0.00  0.00 -11.496 -11.482 -12.982 -13.789 -14.160   3.095   3.087   0.871   0.365   0.620   0.612
   18  3750  3.00 -1.00  2.00  0.00  0.00 -11.709 -11.694 -13.103 -13.850 -14.199   2.943   2.936   0.849   0.326   0.590   0.583
   19  3750  3.50 -1.00  2.00  0.00  0.00 -11.820 -11.805 -13.156 -13.875 -14.235   2.857   2.850   0.860   0.287   0.560   0.553
   20  3750  4.00 -1.00  2.00  0.00  0.00 -11.915 -11.900 -13.198 -13.905 -14.285   2.792   2.786   0.879   0.257   0.517   0.510
   21  3750  4.50 -1.00  2.00  0.00  0.00 -11.967 -11.951 -13.205 -13.932 -14.323   2.767   2.761   0.891   0.265   0.453   0.447
   22  3750  5.00 -1.00  2.00  0.00  0.00 -11.956 -11.940 -13.161 -13.938 -14.340   2.784   2.778   0.902   0.305   0.369   0.363
   23  4000  0.00 -1.00  2.00  0.00  0.00 -11.111 -11.096 -12.913 -14.100 -14.598   3.791   3.784   0.998   0.618   0.557   0.550
   24  4000  0.50 -1.00  2.00  0.00  0.00 -11.470 -11.455 -13.131 -14.215 -14.636   3.547   3.540   0.921   0.592   0.519   0.512
   25  4000  1.00 -1.00  2.00  0.00  0.00 -11.769 -11.754 -13.294 -14.291 -14.658   3.324   3.317   0.866   0.560   0.469   0.462
   26  4000  1.50 -1.00  2.00  0.00  0.00 -12.004 -11.988 -13.413 -14.341 -14.670   3.140   3.133   0.829   0.529   0.423   0.417
   27  4000  2.00 -1.00  2.00  0.00  0.00 -12.181 -12.166 -13.504 -14.377 -14.679   2.997   2.991   0.802   0.500   0.391   0.384
   28  4000  2.50 -1.00  2.00  0.00  0.00 -12.326 -12.311 -13.581 -14.409 -14.691   2.884   2.878   0.782   0.474   0.370   0.363
   29  4000  3.00 -1.00  2.00  0.00  0.00 -12.445 -12.429 -13.655 -14.443 -14.709   2.800   2.794   0.766   0.451   0.364   0.358
   30  4000  3.50 -1.00  2.00  0.00  0.00 -12.526 -12.510 -13.709 -14.469 -14.729   2.745   2.739   0.760   0.429   0.365   0.360
   31  4000  4.00 -1.00  2.00  0.00  0.00 -12.554 -12.538 -13.723 -14.466 -14.746   2.714   2.708   0.780   0.392   0.367   0.361
